DATE,CT,ME,MA,NH,RI,VT,T_WA
2016-04-18,52.5,49.33333333333334,46.88888888888889,50.0,52.0,51.714285714285715,49.31035327560223
2016-04-19,58.0,47.66666666666666,52.0,54.0,57.0,52.714285714285715,53.61863487961652
2016-04-20,56.75,45.0,47.88888888888889,49.0,52.5,49.0,50.232972408627255
2016-04-21,53.0,43.555555555555564,47.111111111111114,46.5,51.0,45.42857142857143,48.354290410775214
2016-04-22,53.5,52.555555555555564,54.111111111111114,53.5,54.0,51.85714285714285,53.66484317549861
2016-04-23,63.75,54.111111111111114,64.77777777777777,61.5,64.0,61.14285714285714,63.0565649732352
2016-04-24,58.5,46.88888888888889,53.77777777777778,50.5,56.5,45.14285714285714,53.819194944709366
2016-04-25,52.75,39.22222222222222,45.88888888888889,44.5,51.5,40.714285714285715,46.988731054201835
2016-04-26,55.75,39.0,49.111111111111114,46.5,52.5,41.285714285714285,49.46374053704557
2016-04-27,47.5,34.0,43.0,40.0,44.5,36.142857142857146,42.80983646116653
2016-04-28,49.5,36.111111111111114,44.77777777777778,43.5,44.5,39.285714285714285,44.75942672840015
2016-04-29,48.0,33.44444444444444,45.555555555555564,44.0,48.0,38.0,44.760348736067264
2016-04-30,49.75,37.22222222222222,46.444444444444436,46.5,48.5,43.85714285714285,46.44628341481138
2016-05-01,53.5,43.66666666666666,47.444444444444436,48.5,49.0,48.42857142857143,48.80576497769951
2016-05-02,45.75,46.0,45.22222222222222,45.0,45.0,45.28571428571429,45.38586075079384
2016-05-03,49.25,43.22222222222222,47.88888888888889,44.0,50.5,44.28571428571429,47.47189944108285
2016-05-04,51.25,44.555555555555564,47.0,47.0,49.0,46.714285714285715,47.930077401693474
2016-05-05,49.5,47.111111111111114,46.33333333333334,44.0,48.0,46.57142857142857,47.079513069883646
2016-05-06,50.0,45.66666666666666,45.111111111111114,45.0,46.0,51.0,46.63634906770015
2016-05-07,52.75,55.22222222222222,50.77777777777778,55.0,52.5,56.5,52.4040338996503
2016-05-08,51.25,53.0,49.66666666666666,48.5,52.0,57.5,50.737673982926175
2016-05-09,55.25,47.111111111111114,53.0,49.5,54.5,47.66666666666666,52.5694253574778
2016-05-10,58.25,40.77777777777778,52.66666666666666,49.0,56.5,43.16666666666666,52.46945497226174
2016-05-11,52.75,50.33333333333334,52.0,55.5,52.0,48.33333333333334,52.1956637536668
2016-05-12,57.5,51.444444444444436,56.88888888888889,56.5,58.0,52.0,56.38083966965238
2016-05-13,61.0,57.88888888888889,58.555555555555564,59.0,60.5,59.42857142857143,59.29842485690948
2016-05-14,58.0,57.555555555555564,58.0,57.0,58.5,57.66666666666666,57.88983176501919
2016-05-15,62.0,63.111111111111114,63.88888888888889,64.0,64.5,58.5,63.19208683871684
